dot_code,iata_code,source,median_err_mi
10135,ABE,vote,1.569
10136,ABI,vote,0.553
10140,ABQ,vote,0.949
10141,ABR,geometric,0.462
10146,ABY,vote,1.064
10154,ACK,vote,0.232
10155,ACT,vote,0.477
10157,ACV,vote,0.093
10158,ACY,vote,1.687
10165,ADK,vote,3.15
10170,ADQ,vote,0.72
10185,AEX,vote,0.57
10208,AGS,vote,0.09
10257,ALB,vote,1.488
10268,ALO,vote,0.721
10279,AMA,vote,0.39
10299,ANC,vote,2.471
10333,APN,geometric,0.304
10372,ASE,vote,0.616
10397,ATL,vote,0.718
10408,ATW,vote,0.475
10423,AUS,vote,1.371
10431,AVL,vote,0.386
10434,AVP,vote,1.048
10469,AZO,vote,0.2
10529,BDL,vote,1.777
10551,BET,vote,1.659
10561,BFL,vote,0.347
10577,BGM,geometric,0.987
10581,BGR,vote,0.421
10599,BHM,vote,0.765
10620,BIL,vote,0.414
10627,BIS,vote,1.177
10631,BJI,vote,0.321
10666,BLI,vote,0.44
10685,BMI,vote,0.224
10693,BNA,vote,0.848
10713,BOI,vote,0.831
10721,BOS,vote,1.727
10728,BPT,vote,0.227
10731,BQK,vote,0.453
10732,BQN,vote,2.347
10739,BRD,vote,0.129
10747,BRO,vote,1.185
10754,BRW,vote,1.327
10779,BTM,vote,0.084
10781,BTR,vote,0.144
10785,BTV,vote,0.648
10792,BUF,vote,0.811
10800,BUR,vote,0.697
10821,BWI,vote,1.19
10849,BZN,vote,1.721
10868,CAE,vote,0.974
10874,CAK,vote,1.357
10918,CDC,geometric,0.585
10926,CDV,vote,0.778
10980,CHA,vote,0.648
10990,CHO,vote,0.554
10994,CHS,vote,0.664
11003,CID,vote,0.373
11013,CIU,vote,0.528
11042,CLE,vote,1.172
11049,CLL,vote,0.206
11057,CLT,vote,0.733
11066,CMH,vote,1.273
11067,CMI,vote,0.465
11076,CMX,vote,0.337
11097,COD,geometric,0.302
11109,COS,vote,1.032
11111,COU,vote,0.468
11122,CPR,vote,0.577
11140,CRP,vote,0.137
11146,CRW,vote,0.257
11150,CSG,vote,0.131
11193,CVG,vote,1.217
11203,CWA,vote,0.394
11252,DAB,vote,0.609
11259,DAL,vote,1.354
11267,DAY,vote,0.811
11274,DBQ,vote,0.48
11278,DCA,vote,1.324
11292,DEN,vote,1.399
11298,DFW,vote,0.995
11308,DHN,vote,0.959
11315,DIK,vote,1.337
11337,DLH,vote,0.118
11413,DRO,vote,0.683
11423,DSM,vote,1.311
11433,DTW,vote,0.839
11447,DVL,vote,0.453
11471,EAU,vote,0.655
11503,EGE,vote,0.542
11525,EKO,vote,0.538
11537,ELM,vote,1.431
11540,ELP,vote,0.869
11577,ERI,vote,1.447
11587,ESC,vote,0.272
11603,EUG,vote,0.991
11612,EVV,vote,0.275
11617,EWN,vote,0.463
11618,EWR,vote,1.403
11624,EYW,vote,1.194
11630,FAI,vote,1.327
11637,FAR,vote,0.705
11638,FAT,vote,0.784
11641,FAY,vote,1.03
11648,FCA,vote,0.415
11695,FLG,vote,0.314
11697,FLL,vote,2.047
11721,FNT,vote,1.007
11775,FSD,vote,0.306
11778,FSM,vote,0.824
11823,FWA,vote,0.633
11865,GCC,vote,0.488
11867,GCK,vote,0.841
11884,GEG,vote,0.956
11898,GFK,geometric,0.309
11905,GGG,vote,0.17
11921,GJT,vote,0.023
11953,GNV,vote,1.07
11973,GPT,vote,0.471
11977,GRB,vote,0.557
11980,GRI,vote,1.073
11982,GRK,vote,0.73
11986,GRR,vote,0.87
